Date,px_SPY,px_QQQ,px_TLT,px_GLD,ret_SPY,ret_QQQ,ret_TLT,ret_GLD,w_ew_SPY,w_ew_QQQ,w_ew_TLT,w_ew_GLD,w_minvar_SPY,w_minvar_QQQ,w_minvar_TLT,w_minvar_GLD,w_rp_SPY,w_rp_QQQ,w_rp_TLT,w_rp_GLD,ret_ew,ret_minvar,ret_rp
2010-03-02,84.42889404296875,39.63652420043945,58.26754379272461,111.0199966430664,0.0027705565098834484,0.003083253342966552,-0.0013141904387480308,0.01452980291927708,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.004767355583344762,0.004767355583344762,0.004767355583344762
2010-03-03,84.5041275024414,39.68002700805664,58.12062454223633,111.62999725341797,0.0008910866395379635,0.0010975434525286598,-0.0025214594768386833,0.005494511158316229,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0012404204433860422,0.0012404204433860422,0.0012404204433860422
2010-03-04,84.76000213623047,39.8105583190918,58.42721939086914,110.83000183105469,0.0030279542710107687,0.003289597333405281,0.005275147179638617,-0.007166491463286184,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0011065518301921207,0.0011065518301921207,0.0011065518301921207
2010-03-05,85.97148895263672,40.41097640991211,57.66069793701172,110.80999755859375,0.014293142825304361,0.015081880691242944,-0.013119252667656678,-0.0001804951017815304,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.004018818936777274,0.004018818936777274,0.004018818936777274
2010-03-08,85.98651123046875,40.48928451538086,57.360530853271484,109.87999725341797,0.0001747355782137916,0.0019377929569042163,-0.005205748360315288,-0.008392747276111279,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.0028714917753271396,-0.0028714917753271396,-0.0028714917753271396
2010-03-09,86.12950897216797,40.715545654296875,57.373313903808594,109.72000122070312,0.0016630252774874066,0.00558817330620065,0.00022285446712144719,-0.0014560978951050352,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0015044887889261171,0.0015044887889261171,0.0015044887889261171
2010-03-10,86.5132827758789,41.04619598388672,57.22636032104492,108.47000122070312,0.004455776055044547,0.00812098485421986,-0.002561357759638061,-0.011392635673468599,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.00034430813096056334,-0.00034430813096056334,-0.00034430813096056334
2010-03-11,86.8744888305664,41.20283126831055,57.43717956542969,108.5999984741211,0.004175151411410782,0.003816073101763573,0.003683953394939765,0.0011984627266063974,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0032184101586801295,0.0032184101586801295,0.0032184101586801295
2010-03-12,86.88198852539062,41.21152877807617,57.79485321044922,107.94999694824219,8.632793038754194e-05,0.00021109009982800409,0.006227214632154476,-0.0059852811695370045,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.00013483787320825447,0.00013483787320825447,0.00013483787320825447
2010-03-15,86.90458679199219,41.10711669921875,57.71820068359375,108.36000061035156,0.00026010300851897483,-0.0025335648046370673,-0.001326286383604991,0.003798088686431056,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,4.958512667699311e-05,4.958512667699311e-05,4.958512667699311e-05
2010-03-16,87.59687042236328,41.3681755065918,58.17812728881836,110.4000015258789,0.007966019469468177,0.006350696140603018,0.007968484806827103,0.01882614344810607,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.010277835966251092,0.010277835966251092,0.010277835966251092
2010-03-17,88.11605834960938,41.481292724609375,58.42721939086914,109.58999633789062,0.005927014569615752,0.002734401907561912,0.004281542113141468,-0.0073370034129791595,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.001401488794334993,0.001401488794334993,0.001401488794334993
2010-03-18,88.07091522216797,41.62051773071289,58.2356071472168,110.33999633789062,-0.0005123144213089459,0.0033563323840415382,-0.0032795030407059,0.006843690346403308,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0016020513171075002,0.0016020513171075002,0.0016020513171075002
2010-03-19,87.62516021728516,41.368770599365234,58.29310989379883,108.27999877929688,-0.005061319094485928,-0.006048630460977811,0.0009874155932927398,-0.018669545286964517,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.007198019812283879,-0.007198019812283879,-0.007198019812283879
2010-03-22,88.09355926513672,41.743350982666016,58.356964111328125,107.75,0.005345485779313375,0.00905466558163881,0.0010953990556625826,-0.004894706180937014,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0026502110589194383,0.0026502110589194383,0.0026502110589194383
2010-03-23,88.71316528320312,42.03080368041992,58.08236312866211,108.31999969482422,0.007033499647818298,0.006886191237336803,-0.00470553920766259,0.005290020369598247,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0036260430117726894,0.0036260430117726894,0.0036260430117726894
2010-03-24,88.28248596191406,41.8304557800293,57.022003173828125,106.30000305175781,-0.004854739653513462,-0.00476669211262204,-0.018256143478272535,-0.018648418101527398,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.011631498336483859,-0.011631498336483859,-0.011631498336483859
2010-03-25,88.13894653320312,41.76948165893555,56.65785598754883,106.77999877929688,-0.0016259105885719771,-0.001457648977443382,-0.0063860819685555015,0.004515481785126063,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.0012385399373611994,-0.0012385399373611994,-0.0012385399373611994
2010-03-26,88.0860824584961,41.81302261352539,56.817569732666016,108.58999633789062,-0.0005997811045667101,0.0010424106994042504,0.002818916147343975,0.016950717168810137,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.005053065727747913,0.005053065727747913,0.005053065727747913
2010-03-29,88.6451644897461,42.01338577270508,56.60037612915039,108.75,0.006346996206959554,0.004791884122600454,-0.003822648602140988,0.0014734659499526792,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.002197424419342925,0.002197424419342925,0.002197424419342925
2010-03-30,88.70560455322266,42.15276336669922,56.779212951660156,107.97000122070312,0.0006818201965608228,0.0033174568397840165,0.003159640178038714,-0.007172402568247138,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-3.371338465896212e-06,-3.371338465896212e-06,-3.371338465896212e-06
2010-03-31,88.40338897705078,41.95240783691406,57.16889572143555,108.94999694824219,-0.0034069501887059594,-0.004753081738490206,0.006863123835604279,0.009076555677125953,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0019449118963835166,0.0019449118963835166,0.0019449118963835166
2010-04-01,89.00787353515625,41.95240783691406,57.02911376953125,110.26000213623047,0.006837798472436374,0.0,-0.002445070000746674,0.012023912112733903,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.004104160146105901,0.004104160146105901,0.004104160146105901
2010-04-05,89.73321533203125,42.34440994262695,56.080238342285156,110.88999938964844,0.008149186898488203,0.009343971560268116,-0.01663843893981476,0.0057137424379838375,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.0016421154892313494,-0.005894139736838287,-0.008112517968557463
2010-04-06,89.94477081298828,42.46636962890625,56.16997146606445,111.02999877929688,0.0023576050426170614,0.0028801838647543043,0.0016000845651120699,0.0012625069025071767,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.002025095093747653,0.0018651567250947123,0.001806370389826368
2010-04-07,89.43096160888672,42.3618278503418,56.88807678222656,112.48999786376953,-0.005712496673874079,-0.002461754547845585,0.012784505624966469,0.013149591106227154,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.00443996137736849,0.006637061365861528,0.008751705040944711
2010-04-08,89.74077606201172,42.45764923095703,56.9136848449707,112.6500015258789,0.0034642862779439287,0.002261974647405518,0.0004501481539298524,0.0014223812352023302,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.0018996975786204073,0.0015038276278289324,0.0011411201449442819
2010-04-09,90.33013916015625,42.71027374267578,57.04832458496094,113.63999938964844,0.006567394711822772,0.005950035300931189,0.002365683057721224,0.008788263207809122,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.0059178440695710766,0.004379032601849152,0.004001354702748499
2010-04-12,90.47369384765625,42.745113372802734,57.349674224853516,113.01000213623047,0.0015892224769573637,0.0008157201318084173,0.005282357406373617,-0.0055437984583037725,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.0005358753892089063,0.0029404612340493312,0.0031299945904834626
2010-04-13,90.54170227050781,42.962886810302734,57.53561782836914,112.69000244140625,0.0007516927844912757,0.005094697857055186,0.0032422782871719402,-0.002831605068359111,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.0015642659650898227,0.0021005753137596545,0.00248855203662713
2010-04-14,91.56929779052734,43.47685241699219,57.13172149658203,113.02999877929688,0.011349416835011894,0.011963013774162867,-0.0070199355987093925,0.0030170940680156466,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.004827397269620254,0.00031335795968614127,-0.0014411150522821423
2010-04-15,91.64485168457031,43.668495178222656,57.19581985473633,113.6500015258789,0.0008251007255271059,0.004407926300469045,0.0011219399044037903,0.005485293756329668,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.0029600651716824022,0.0016653951032692777,0.0019396583936747206
2010-04-16,90.18657684326172,43.14582061767578,57.61255645751953,111.23999786376953,-0.015912239634887415,-0.011969145225034672,0.007286137410769111,-0.021205487283346813,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,-0.010450183683124947,-0.0031422215411685966,-0.0009268769775760055
2010-04-19,90.52655792236328,43.11969757080078,57.47148895263672,111.1500015258789,0.0037697525618742844,-0.0006054594976065975,-0.002448554856037788,-0.0008090285834133626,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,-2.3322593795865876e-05,-0.00043476686516008306,-0.001282721797715148
2010-04-20,91.33505249023438,43.33745574951172,57.676639556884766,111.45999908447266,0.008931020757074082,0.005050085946298299,0.003569606564693517,0.002789001838399141,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.00508492877661626,0.00509331604772033,0.0043242076958676465
2010-04-21,91.1688232421875,43.581363677978516,58.15108871459961,112.30999755859375,-0.001819994005747616,0.005628109085973332,0.008226019431088805,0.00762604056256011,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.004915043768468658,0.005189585058886308,0.006608825610600507
2010-04-22,91.44081115722656,43.82528305053711,57.97801208496094,111.83999633789062,0.0029833434870223385,0.005596873341571218,-0.0029763265566379316,-0.004184856476894816,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.00035475844876520224,-0.0008548340395459475,-0.0013703095820044812
2010-04-23,92.0377197265625,44.00822448730469,57.772830963134766,113.19000244140625,0.006527813585441633,0.004174335544088192,-0.003538947170618756,0.012070870419532032,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.004808518094610775,0.0012475545365151974,0.00030250365427738593
2010-04-26,91.6901626586914,43.91240310668945,57.83693313598633,112.75,-0.0037762459663674974,-0.002177351659412574,0.0011095556818474517,-0.0038872906786446837,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,-0.002182833155644326,-0.0009418215575276927,-0.00042211926197625036
2010-04-27,89.52165985107422,42.98031234741211,58.651187896728516,114.62999725341797,-0.023650332213819403,-0.021226138706477493,0.014078456733307654,0.016674033289738155,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,-0.003530995224312772,0.0014334929177444462,0.005565090361721747
2010-04-28,90.20166778564453,43.006439208984375,58.15108871459961,114.30999755859375,0.007596015709511628,0.0006078797511075429,-0.008526667575931568,-0.0027915877387381105,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,-0.000778589963512627,-0.0028774357567422503,-0.004837320474308168
2010-04-29,91.31993865966797,43.75559616088867,58.39474105834961,114.27999877929688,0.01239745230299838,0.017419646120057974,0.0041899876534698954,-0.0002624335573229164,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,0.008436163129800833,0.006945102588915049,0.006264547017049006
2010-04-30,89.77098846435547,42.8931884765625,59.067935943603516,115.36000061035156,-0.016961796274142737,-0.01970965453550466,0.01152834781099954,0.009450488647102961,0.25,0.25,0.25,0.25,0.27950403162020626,0.06635252324827763,0.5605481349125992,0.09359531021891689,0.12448199569214835,0.11608429660548188,0.650980847981668,0.10845285972070179,-0.0039231535878862245,0.00129803952779941,0.00413024651954839
2010-05-03,90.93460083007812,43.494266510009766,58.99071502685547,115.7300033569336,0.012962009059136914,0.01401336796810293,-0.0013073237707472707,0.003207374693346088,0.25,0.25,0.25,0.25,0.45438139262997695,0.0,0.545618607370023,0.0,0.23327334436123662,0.22989959487812306,0.3520246402085843,0.1848024205520561,0.007218856987459665,0.004120133441809364,0.002737074940333631
